budget,genre,id,original_language,popularity,revenue,runtime,title,vote_average,vote_count,Main_Actor,Popularity_Actor,Main_Actress,Popularity_Actress,Director,Popularity_Director,release_year,release_month,release_day
100000000,Drama,872585,en,2718.643,950659867,181,Oppenheimer,8.192,4670,Cillian Murphy,79.79,Emily Blunt,71.828,Christopher Nolan,63.024,2023,7,19
80000000,Science Fiction,670292,en,2234.144,102000000,134,The Creator,7.234,897,John David Washington,52.582,Madeleine Yuna Voyles,249.806,Gareth Edwards,15.065,2023,9,27
20000000,Horror,507089,en,1859.189,270450582,110,Five Nights at Freddy's,7.9,2351,Josh Hutcherson,128.918,Piper Rubio,124.573,Emma Tammi,13.303,2023,10,25
100000000,Action,299054,en,1294.274,58000000,103,Expend4bles,6.406,764,Jason Statham,143.451,Megan Fox,29.094,Scott Waugh,11.728,2023,9,15
291000000,Action,575264,en,1144.924,567148955,164,Mission: Impossible - Dead Reckoning Part One,7.589,2471,Tom Cruise,43.061,Hayley Atwell,61.45,Christopher McQuarrie,8.359,2023,7,8
340000000,Action,385687,en,972.791,704709660,142,Fast X,7.215,4294,Vin Diesel,62.158,Michelle Rodriguez,18.83,Louis Leterrier,10.655,2023,5,17
70000000,Action,926393,en,846.648,185500000,109,The Equalizer 3,7.416,1660,Denzel Washington,61.815,Dakota Fanning,51.186,Antoine Fuqua,13.732,2023,8,30
100000000,Action,695721,en,800.372,44000000,157,The Hunger Games: The Ballad of Songbirds & Snakes,7.384,216,Tom Blyth,126.627,Rachel Zegler,49.804,Francis Lawrence,19.444,2023,11,15
13000000,Horror,951491,en,755.378,100900000,118,Saw X,7.417,1090,Tobin Bell,21.702,Shawnee Smith,17.86,Kevin Greutert,6.386,2023,9,26
274800000,Action,609681,en,712.55,161401072,105,The Marvels,6.491,458,Park Seo-jun,23.064,Brie Larson,65.616,Nia DaCosta,9.49,2023,11,8
14500000,Action,678512,en,698.689,246700000,131,Sound of Freedom,8.094,1479,Jim Caviezel,36.62,Mira Sorvino,20.336,Alejandro Gómez Monteverde,9.747,2023,7,3
104000000,Action,565770,en,682.79,128600000,128,Blue Beetle,7,1648,Xolo Mariduena,20.747,Bruna Marquezine,18.384,Ángel Manuel Soto,3.461,2023,8,16
129000000,Action,615656,en,675.647,384056482,116,Meg 2: The Trench,6.755,2557,Jason Statham,143.451,Shuya Sophia Cai,62.481,Ben Wheatley,9.264,2023,8,2
38500000,Horror,968051,en,663.982,268000000,110,The Nun II,6.92,1432,Jonas Bloquet,19.463,Taissa Farmiga,37.101,Michael Chaves,9.454,2023,9,6
60000000,Adventure,980489,en,645.817,114800000,135,Gran Turismo,7.986,1456,Archie Madekwe,43.312,,,Neill Blomkamp,9.896,2023,8,9
200000000,Animation,976573,en,599.984,490797988,102,Elemental,7.731,3008,Mamoudou Athie,19.667,Leah Lewis,13.051,Peter Sohn,15.69,2023,6,14
20000000,Action,762430,en,594.316,16700000,91,Retribution,6.978,673,Liam Neeson,97.057,Noma Dumezweni,14.457,Nimród Antal,7.431,2023,8,23
30000000,Animation,893723,en,577.266,188800000,92,PAW Patrol: The Mighty Movie,7,175,Christian Convery,22.776,Mckenna Grace,62.516,Cal Brunker,5.603,2023,9,21
195000000,Action,667538,en,569.173,429800000,127,Transformers: Rise of the Beasts,7.455,3563,Anthony Ramos,17.775,Dominique Fishback,11.993,Steven Caple Jr.,5.51,2023,6,6
30000000,Horror,807172,en,563.412,131700000,111,The Exorcist: Believer,6.161,579,Leslie Odom Jr.,15.826,Lidya Jewett,19.016,David Gordon Green,10.975,2023,10,4
145000000,Comedy,346698,en,546.3,1441700000,114,Barbie,7.201,5951,Ryan Gosling,51.942,Margot Robbie,52.468,Greta Gerwig,17.606,2023,7,19
20000000,Animation,811634,zh,509.049,13000000,95,The Monkey King: Reborn,7.136,279,Jiang Bian,4.261,Haiting Cai,1.055,Wang Yunfei,1.447,2021,4,2
100000000,Animation,569094,en,501.032,683241751,140,Spider-Man: Across the Spider-Verse,8.4,4933,Shameik Moore,10.406,Hailee Steinfeld,53.047,Joaquim Dos Santos,9.897,2023,5,31
100000000,Animation,502356,en,489.392,1355725263,93,The Super Mario Bros. Movie,7.752,7187,Chris Pratt,80.937,Anya Taylor-Joy,46.232,Michael Jelenic,3.833,2023,4,5
